id_riga,fase,strato,esito_lessico,esito_ricalcolato,combacia,occorrenze,macrotema_r1,macrotema_secondario_r1,macrotema_r2,macrotema_secondario_r2,accordo_esatto,accordo_largo,policy_r1,policy_r2,lessico_ok_generoso,falso_positivo_lessico,titolo
V001,calibrazione,stratificato:Infrastrutture e territorio,Infrastrutture e territorio,Infrastrutture e territorio,True,1,Infrastrutture e territorio,Lavoro e imprese,Infrastrutture e territorio,Lavoro e imprese,True,True,si,si,True,False,Per il Comala si mobilitano anche i social: Grimaldi (Avs) attacca il Comune - La Stampa
V002,calibrazione,stratificato:Sicurezza e criminalità,Sicurezza e criminalità,Sicurezza e criminalità,True,1,Sicurezza e criminalità,nan,Sicurezza e criminalità,nan,True,True,si,si,True,False,"Voto di scambio, consigliere regionale e sindaco indagati nel Casertano"
V003,calibrazione,stratificato:Politica estera e difesa,Politica estera e difesa,Politica estera e difesa,True,4,Politica estera e difesa,nan,Politica estera e difesa,Infrastrutture e territorio,True,True,si,si,True,False,"Ravenna, la guerra in Iran mette a rischio i cantieri stradali: âPrezzi del bitume alle stelleâ"
V004,calibrazione,stratificato:Welfare e pensioni,Welfare e pensioni,Welfare e pensioni,True,1,Istituzioni e assetto dello Stato,nan,Istituzioni e assetto dello Stato,nan,True,True,si,si,False,False,"Leva civica senior, Astuti (Pd): ""Troppe criticità, serve un confronto urgente"""
V005,calibrazione,casuale,non assegnato,non assegnato,True,0,Politica estera e difesa,Unione europea,Politica estera e difesa,Unione europea,True,True,si,si,False,False,Europa e Stati Uniti in rotta di collisione – Avanti
V006,calibrazione,stratificato:Economia e finanza pubblica,Economia e finanza pubblica,Economia e finanza pubblica,True,1,Sicurezza e criminalità,Cultura e patrimonio,Sicurezza e criminalità,Cultura e patrimonio,True,True,si,si,False,False,"Meloni a Palermo per l’omaggio a Falcone e Borsellino: ""Colpiremo chi vuole terrorizzare la città. Forse in campo l’Esercito"" - Gazzetta del Sud"
V007,calibrazione,non_assegnato,non assegnato,non assegnato,True,0,Cultura e patrimonio,Sicurezza e criminalità,Cultura e patrimonio,Sicurezza e criminalità,True,True,si,si,False,False,"Report, Rai sospende le repliche estive della trasmissione"
V008,calibrazione,stratificato:Economia e finanza pubblica,Economia e finanza pubblica,Economia e finanza pubblica,True,2,Politica estera e difesa,Ambiente ed energia,Politica estera e difesa,Ambiente ed energia,True,True,si,si,False,False,il manifesto
V009,calibrazione,casuale,Ambiente ed energia,Ambiente ed energia,True,2,Politica estera e difesa,Ambiente ed energia,Politica estera e difesa,Ambiente ed energia,True,True,si,si,True,False,Meloni chiede aiuto a Merz | il manifesto
V010,calibrazione,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,False,"Quanto conta il centro in vista delle Politiche? Il ""campo largo"" ora si interroga"
V011,indipendente,stratificato:Politica estera e difesa,Politica estera e difesa,Politica estera e difesa,True,1,Cultura e patrimonio,nan,politica non tematica,nan,False,False,si,no,False,False,"Il consiglio comunale festeggia 80 anni di democrazia: ""Occasione per riflettere"""
V012,indipendente,stratificato:Welfare e pensioni,Welfare e pensioni,Welfare e pensioni,True,2,non politico,nan,non politico,nan,True,True,no,no,False,True,Turista 89enne muore sulla spiaggia di Otranto dopo un malore - Gazzetta del Mezzogiorno
V013,indipendente,stratificato:Istruzione e ricerca,Istruzione e ricerca,Istruzione e ricerca,True,5,Istruzione e ricerca,Cultura e patrimonio,Istruzione e ricerca,Welfare e pensioni,True,True,si,si,True,False,Mozione di FdI per le scuole delle isole veneziane
V014,indipendente,stratificato:Politica estera e difesa,Politica estera e difesa,Politica estera e difesa,True,4,Politica estera e difesa,nan,Politica estera e difesa,nan,True,True,si,si,True,False,"Basi Usa in Italia, da Sigonella a Camp Darby: dove sono e come potrebbero essere usate per la guerra in Iran. La mappa"
V015,indipendente,stratificato:Sport,Sport,Sport,True,3,Sport,nan,Sport,nan,True,True,si,si,True,False,"San Siro, il conto che pesa sui milanesi"
V016,indipendente,stratificato:Economia e finanza pubblica,Economia e finanza pubblica,Economia e finanza pubblica,True,6,Economia e finanza pubblica,Welfare e pensioni,Welfare e pensioni,nan,False,True,si,si,True,False,"Ok definitivo al decreto maltempo: dallo stop a tasse e contributi al sostegno al reddito per i lavoratori, ecco le misure - Il Sole 24 ORE"
V017,indipendente,stratificato:Cultura e patrimonio,Cultura e patrimonio,Cultura e patrimonio,True,1,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,True,Per Meloni l’ultimo tratto di legislatura è decisivo | Giornale di Brescia
V018,indipendente,stratificato:Immigrazione e cittadinanza,Immigrazione e cittadinanza,Immigrazione e cittadinanza,True,4,Immigrazione e cittadinanza,Politica estera e difesa,Immigrazione e cittadinanza,Politica estera e difesa,True,True,si,si,True,False,"Migranti, Finlandia verso ripresa trasferimenti in Italia"
V019,indipendente,stratificato:Sanità,Sanità,Sanità,True,2,non politico,nan,non politico,nan,True,True,no,no,False,True,"Morte del piccolo Domenico, accolta l'istanza di ricusazione: domani autopsia - Il Roma"
V020,indipendente,stratificato:Diritti civili e società,Diritti civili e società,Diritti civili e società,True,3,non politico,nan,non politico,nan,True,True,no,no,False,True,"Crans-Montana, famiglie vittime Corinaldo a Meloni: ""Drammi simili, non lasciateci soli"""
V021,indipendente,stratificato:Unione europea,Unione europea,Unione europea,True,1,Politica estera e difesa,Unione europea,Politica estera e difesa,nan,True,True,si,si,True,False,"Meloni-Trump, la missione della premier italiana: l'analisi tra Ue e Usa"
V022,indipendente,stratificato:Cultura e patrimonio,Cultura e patrimonio,Cultura e patrimonio,True,2,non politico,nan,non politico,nan,True,True,no,no,False,True,Il Festival Star e novità per “Moon in June“
V023,indipendente,casuale,Sport,Sport,True,4,Sicurezza e criminalità,nan,Sicurezza e criminalità,nan,True,True,si,si,False,False,"Anarchici, nuove minacce: ""Sabotaggi e fuoco alle Olimpiadi"" – Il Tempo"
V024,indipendente,casuale,Lavoro e imprese,Lavoro e imprese,True,2,dubbio,nan,Istituzioni e assetto dello Stato,nan,False,False,,si,False,False,"L’opposizione controbatte : ""Maggioranza arrogante. Proposte bocciate a priori"""
V025,indipendente,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,False,Salvini: «Lega sdoppiata? Fantasie. Sistemeremo ciò che va sistemato» — La Verità
V026,indipendente,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,nan,Unione europea,nan,False,False,no,si,False,False,"Gozi (Renew), 'su Europa più forte a quale Meloni dobbiamo credere?' - La voce degli Eurodeputati - Ansa.it"
V027,indipendente,stratificato:Immigrazione e cittadinanza,Immigrazione e cittadinanza,Immigrazione e cittadinanza,True,4,Istituzioni e assetto dello Stato,Unione europea,Immigrazione e cittadinanza,Unione europea,False,False,si,si,True,False,Gasparri: “Maggiore severità per immigrazione clandestina” - L'Opinione
V028,indipendente,stratificato:Sanità,Sanità,Sanità,True,2,Sanità,nan,non politico,nan,False,False,si,no,True,False,"Gastroenterologia trasferita a Pesaro, compensazioni per Fano. L'assessore alla sanità Calcinaro: «Rafforzate senologia e ortopedia»"
V029,indipendente,stratificato:Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,Istituzioni e assetto dello Stato,True,1,politica non tematica,nan,nan,nan,False,True,no,si,False,False,Il sacco dimenticato del Nord - Tempi
V030,indipendente,non_assegnato,non assegnato,non assegnato,True,0,non politico,nan,Politica estera e difesa,nan,False,False,no,si,False,False,"Meloni: ""L'uccisione di Quentin Deranque una ferita per l'intera Europa"" - il Giornale"
V031,indipendente,stratificato:Immigrazione e cittadinanza,Immigrazione e cittadinanza,Immigrazione e cittadinanza,True,4,Immigrazione e cittadinanza,Unione europea,Immigrazione e cittadinanza,Unione europea,True,True,si,si,True,False,"Rifugiati, si apre il fronte svizzero. Via libera ai trasferimenti in Italia - la Repubblica"
V032,indipendente,non_assegnato,non assegnato,non assegnato,True,0,politica non tematica,nan,politica non tematica,nan,True,True,no,no,False,False,Delegazione deputati FnV lascia Aula e va al flashmob sulla Rai | Giornale di Brescia
